0,20000
3,12530
7,16230
10,14580
13,19535
16,10640
37,15230
43,1795
51,105
58,14025
62,11015
66,16910
74,10355
96,8570
100,13030
102,6160
108,1980
109,8055
115,13825
118,670
128,13195
130,2805
131,9425
135,17455
149,15280
153,17390
157,14395
160,6400
161,9300
163,14360
171,16995
174,10505
178,8280
183,11875
188,10825
196,1150
198,12245
209,3675
211,9725
213,9135
214,16745
221,5150
224,7565
228,11395
232,425
235,11930
237,18775
241,880
248,10280
253,11150
264,2545
276,705
283,1590
285,2660
294,10315
296,14490
298,10375
300,14055
304,2305
305,9735
308,17925
310,17040
313,1580
330,5820
331,17275
334,16775
346,2495
347,9980
348,16460
350,19225
351,18720
356,14510
357,5695
359,1565
362,17245
377,2390
381,11175
384,3095
391,10775
394,15915
399,15110
402,13085
410,12445
411,11620
414,920
425,13395
427,19035
430,10785
432,4985
433,17725
436,6695
442,1300
443,16595
445,17375
450,3660
451,17000
453,2770
454,16475
459,15530
465,12285
469,1695
470,19355
499,19975
503,1530
508,690
523,1045
526,7630
530,10020
533,19660
545,2870
554,6975
558,7860
564,1070
568,4060
572,5205
573,18060
580,15300
586,8265
589,15625
591,15095
600,9655
604,15735
606,4750
607,17365
620,15415
629,9185
633,19995
637,8480
643,2125
648,9310
661,11895
663,8405
665,13955
672,8320
674,8865
676,9595
677,17815
681,11145
684,19025
685,1680
686,6950
689,5955
692,18205
710,1895
712,1730
714,17745
718,15385
727,6990
728,8895
733,6450
737,8010
740,11375
742,7575
746,9625
757,7260
769,12535
770,1125
780,3915
781,12955
782,17595
787,11040
797,5320
800,19870
803,5450
805,1310
816,13760
818,10370
820,8165
821,16440
826,7815
832,3905
834,2455
840,18470
846,6885
851,1785
868,2080
874,5485
876,4110
880,12640
881,11205
883,3585
903,16925
904,18005
905,16955
906,6605
907,13870
912,9750
913,17425
917,4055
919,14625
921,745
928,10925
930,19765
940,365
945,8775
946,18130
957,15325
966,7475
968,2475
974,9500
978,10535
980,10895
981,8980
983,13985
994,5270
1017,6815
1018,19395
1027,8580
1028,9195
1045,8300
1047,15745
1058,6750
1064,19345
1066,10680
1071,1675
1077,3195
1087,7595
1089,6320
1093,14615
1097,12320
1107,8875
1109,10720
1119,17910
1121,9940
1122,3995
1132,14630
1145,19235
1151,10760
1152,19180
1155,15825
1164,795
1169,3110
1174,4695
1176,19330
1178,16555
1179,15570
1183,13170
1184,4395
1186,265
1192,3875
1195,7360
1201,16520
1203,305
1209,1935
1215,495
1221,15050
1223,15100
1228,5605
1230,16340
1246,4445
1258,5825
1261,3755
1262,3885
1268,17880
1271,2875
1273,15065
1276,6910
1289,4660
1291,4265
1293,17260
1297,7370
1300,17500
1303,14825
1311,8440
1315,14795
1331,760
1337,1605
1338,3690
1355,13045
1356,15475
1362,18345
1364,12150
1367,4770
1374,7660
1380,1815
1381,17580
1396,4045
1408,9840
1413,10740
1419,1780
1426,8985
1427,7460
1430,14445
1439,4025
1440,13145
1441,6000
1451,19615
1453,15990
1464,16250
1465,4120
1466,11250
1482,13475
1500,2170
1508,2915
1514,3360
1528,9715
1536,16500
1540,5875
1541,8765
1542,7530
1543,16795
1545,16825
1559,3025
1560,8835
1561,11825
1568,11255
1576,10175
1578,4505
1585,2100
